source_node,destination_node,travel_time,distance,capacity,speed_limit
Matunga,King's Circle,8,7,230,50 km/h
CST,Marine Lines,25,16,220,50 km/h
Belapur,Nerul,50,2,210,40 km/h
Sanpada,Vashi,5,20,190,60 km/h
Elphinstone,Currey Road,25,9,220,50 km/h
Nerul,Sanpada,6,2,160,50 km/h
Charni Road,Grant Road,18,12,200,60 km/h
Vashi,Mankhurd,15,10,200,60 km/h
Govandi,Chembur,6,18,200,50 km/h
Dadar,Prabhadevi,6,14,160,40 km/h
King's Circle,Sion,35,7,210,40 km/h
Mulund,Thane,50,3,150,60 km/h
Pedder Road,Worli,18,7,160,60 km/h
Ambernath,Badlapur,10,4,220,40 km/h
Mumbra,Kalwa,5,8,220,40 km/h
Govandi,Chembur,35,18,220,50 km/h
Mankhurd,Govandi,15,8,220,40 km/h
Dombivli,Kalyan,5,6,180,50 km/h
Dadar,Prabhadevi,45,10,160,50 km/h
Lower Parel,Worli,20,7,200,40 km/h
Bhayandar,Vasai,50,12,230,50 km/h
Diva,Dombivli,50,1,170,50 km/h
Mira Road,Bhayandar,25,7,160,60 km/h
Churchgate,CST,40,9,220,60 km/h
Kurla,Ghatkopar,18,6,210,60 km/h
Kopri,Mumbra,25,20,200,50 km/h
Prabhadevi,Elphinstone,6,16,230,40 km/h
Thane,Kopri,10,8,210,50 km/h
Marine Lines,Charni Road,12,2,220,50 km/h
Grant Road,Marine Drive,50,16,230,60 km/h
Bhandup,Mulund,18,4,220,60 km/h
Cuffe Parade,Churchgate,8,8,160,40 km/h
Matunga,King's Circle,22,18,150,60 km/h
Thane,Kopri,8,10,220,60 km/h
Charni Road,Grant Road,45,7,200,50 km/h
Chinchpokli,Sandhurst Road,15,9,150,50 km/h
Sion,Dadar,6,1,220,60 km/h
Kopri,Mumbra,45,9,210,50 km/h
Bhandup,Mulund,8,5,180,60 km/h
Chinchpokli,Sandhurst Road,45,2,170,60 km/h
Mira Road,Bhayandar,8,1,220,40 km/h
Dadar,Matunga,30,18,250,60 km/h
Lower Parel,Dadar,8,4,220,60 km/h
Bhandup,Mulund,15,12,170,50 km/h
Badlapur,Vangani,20,14,180,50 km/h
Diva,Dombivli,22,2,200,40 km/h
Parel,Lower Parel,18,8,160,60 km/h
Belapur,Nerul,35,12,220,60 km/h
Dockyard Road,Mazgaon,50,7,220,60 km/h
CST,Marine Lines,15,7,170,50 km/h
Dockyard Road,Mazgaon,5,16,190,40 km/h
Prabhadevi,Elphinstone,12,14,170,40 km/h
Parel,Lower Parel,18,7,150,50 km/h
Vangani,Shedung,35,4,210,40 km/h
Dockyard Road,Mazgaon,35,16,150,50 km/h
Sion,Dadar,10,10,200,40 km/h
Sandhurst Road,Dockyard Road,6,5,250,50 km/h
Badlapur,Vangani,8,2,160,50 km/h
Prabhadevi,Elphinstone,30,3,200,60 km/h
Ulhasnagar,Ambernath,12,5,210,60 km/h
Dockyard Road,Mazgaon,30,3,200,40 km/h
